Unnamed: 0,DienTich(m²),Phongngu,SoTang,PhongTam,Loai,TinhTrangNoiThat,HuongCuaChinh,HuongBanCong,Gia(Triệu),Duong,Phuong,Quan,ThanhPho,Gia_m²(Triệu)
63,68.0,2,0.0,2, Chung cư, Nội thất đầy đủ,,,1620.0,Đường 15B,Phú Mỹ,7,Tp Hồ Chí Minh,23.82
64,50.0,1,0.0,1, Chung cư, Hoàn thiện cơ bản,,,500.0,đường Lê Văn Lương,,,Tp Hồ Chí Minh,10.0
65,83.0,2,0.0,2, Chung cư,Không có nội thất,, Đông Nam,3650.0,171A,13,Tân Bình,Tp Hồ Chí Minh,43.98
66,34.0,1,10.0,1, Chung cư,Không có nội thất,,,600.0,Đường Hồ Văn Long,Tân Tạo,Bình Tân,Tp Hồ Chí Minh,17.65
68,120.0,3,0.0,2, Chung cư, Nội thất cao cấp, Đông Bắc, Tây Nam,10500.0,10,An Lợi Đông,2,Tp Hồ Chí Minh,87.5
69,65.0,2,0.0,2, Chung cư,Không có nội thất,,,1900.0,111B,Tân Thới Hòa,Tân Phú,Tp Hồ Chí Minh,29.23
70,63.0,2,0.0,2, Chung cư,Không có nội thất,,,1180.0,Đường Huỳnh Tấn Phát,,,Tp Hồ Chí Minh,18.73
71,48.8,1,21.0,1, Chung cư, Hoàn thiện cơ bản,,,3000.0,Đường Nguyễn Hữu Thọ,,,Tp Hồ Chí Minh,61.48
72,25.0,1,0.0,1, Officetel,Không có nội thất,,,900.0,ta quang buu,6,8,Tp Hồ Chí Minh,36.0
73,56.0,2,8.0,1, Chung cư,Không có nội thất,,,1610.0,Đường Đỗ Xuân Hợp,Phước Long B,9,Tp Hồ Chí Minh,28.75
74,34.0,1,0.0,1, Chung cư,Không có nội thất,,,595.0,117/80,Tân Tạo,Bình Tân,Tp Hồ Chí Minh,17.5
75,65.0,2,0.0,1, Chung cư,Không có nội thất,, Đông,1800.0,Đường Nguyễn Văn Linh,6,8,Tp Hồ Chí Minh,27.69
